"lon","lat","time","lwe_cm"
109.25,-0.75,2011-09-01,-8.15212783544269
109.25,-0.75,2011-10-01,2.24016333842879
109.25,-0.75,2011-11-01,6.04348944657879
109.25,-0.75,2011-12-01,30.5790606865949
109.25,-0.75,2012-01-01,19.9683355058706
109.25,-0.75,2012-02-01,9.11577209928145
109.25,-0.75,2012-03-01,8.63726573610718
109.25,-0.75,2012-04-01,5.69855732627535
109.25,-0.75,2012-05-01,-1.27001891546752
109.25,-0.75,2012-06-01,-8.2385951572104
109.25,-0.75,2012-07-01,-7.81174157433434
109.25,-0.75,2012-08-01,-8.4873301991454
109.25,-0.75,2012-09-01,-6.00447381045598
109.25,-0.75,2012-10-01,0.756227435550399
109.25,-0.75,2012-11-01,7.51692868155677
109.25,-0.75,2012-12-01,15.4118863887403
109.25,-0.75,2013-01-01,21.6479347495234
109.25,-0.75,2013-02-01,13.2250106312047
109.25,-0.75,2013-03-01,9.45619629183307
109.25,-0.75,2013-04-01,5.68738195246142
109.25,-0.75,2013-05-01,1.17921493618846
109.25,-0.75,2013-06-01,-0.435673188930804
109.25,-0.75,2013-07-01,-1.46041205080335
109.25,-0.75,2013-08-01,1.57754910234139
109.25,-0.75,2013-09-01,4.61551025548613
109.25,-0.75,2013-10-01,7.65347140863087
109.25,-0.75,2013-11-01,11.9515553160666
109.25,-0.75,2013-12-01,24.399382203517
109.25,-0.75,2014-01-01,19.1832968561902
109.25,-0.75,2014-02-01,11.7528106226079
109.25,-0.75,2014-03-01,4.32232438902562
109.25,-0.75,2014-04-01,-2.78024317725559
109.25,-0.75,2014-05-01,-2.50997282865682
109.25,-0.75,2014-06-01,-8.4279443685089
109.25,-0.75,2014-07-01,-6.0973872327235
109.25,-0.75,2014-08-01,-3.76683009693809
109.25,-0.75,2014-09-01,-4.67583467374314
109.25,-0.75,2014-10-01,6.44459580940533
109.25,-0.75,2014-11-01,6.72496787258783
109.25,-0.75,2014-12-01,13.976469886244
109.25,-0.75,2015-01-01,21.2279718999002
109.25,-0.75,2015-02-01,10.5159813855903
109.25,-0.75,2015-03-01,3.0900978494378
109.25,-0.75,2015-04-01,-0.905387514976965
109.25,-0.75,2015-05-01,-3.68679720229241
109.25,-0.75,2015-06-01,-8.36930457989516
109.25,-0.75,2015-07-01,-13.0518119574979
109.25,-0.75,2015-08-01,-8.41517535233064
109.25,-0.75,2015-09-01,-7.25828590974517
109.25,-0.75,2015-10-01,0.493846172550072
109.25,-0.75,2015-11-01,8.24597825484531
109.25,-0.75,2015-12-01,15.9981103371405
109.25,-0.75,2016-01-01,8.53950029830802
109.25,-0.75,2016-02-01,19.3657103238442
109.25,-0.75,2016-03-01,5.24750285774679
109.25,-0.75,2016-04-01,1.67872391847097
109.25,-0.75,2016-05-01,-1.89005502080484
109.25,-0.75,2016-06-01,-4.89004784999428
109.25,-0.75,2016-07-01,-0.717902699721627
109.25,-0.75,2016-08-01,-14.7675581551347
109.25,-0.75,2016-09-01,-7.57335035786777
109.25,-0.75,2016-10-01,-0.37914256060087
109.25,-0.75,2016-11-01,6.81506523666603
109.25,-0.75,2016-12-01,15.070887337115
109.25,-0.75,2017-01-01,11.7996135323845
109.25,-0.75,2017-02-01,5.38344113486312
109.25,-0.75,2017-03-01,-1.03273126265825
109.25,-0.75,2017-04-01,-3.55563816215117
109.25,-0.75,2017-05-01,-5.57742053416182
109.25,-0.75,2017-06-01,-8.0596333629907
109.25,-0.25,2002-04-01,9.41213070394612
109.25,-0.25,2002-05-01,20.7106540443157
109.25,-0.25,2002-06-01,13.2702666158173
109.25,-0.25,2002-07-01,5.82987918731898
109.25,-0.25,2002-08-01,-1.61050824117937
109.25,-0.25,2002-09-01,-4.18122334287018
109.25,-0.25,2002-10-01,4.90746558470999
109.25,-0.25,2002-11-01,4.24585978079035
109.25,-0.25,2002-12-01,15.6923044397675
109.25,-0.25,2003-01-01,15.2914742504728
109.25,-0.25,2003-02-01,20.5770552300166
109.25,-0.25,2003-03-01,8.47148871568126
109.25,-0.25,2003-04-01,15.981079011566
109.25,-0.25,2003-05-01,13.8545446196898
109.25,-0.25,2003-06-01,9.78813160336063
109.25,-0.25,2003-07-01,5.72171858703141
109.25,-0.25,2003-08-01,-0.869247955043288
109.25,-0.25,2003-09-01,1.49248979323068
109.25,-0.25,2003-10-01,17.5191587927029
109.25,-0.25,2003-11-01,16.6057750319508
109.25,-0.25,2003-12-01,22.2104716331595
109.25,-0.25,2004-01-01,14.2917830071608
109.25,-0.25,2004-02-01,11.6005303187427
109.25,-0.25,2004-03-01,6.72026064832139
109.25,-0.25,2004-04-01,5.26166286292113
109.25,-0.25,2004-05-01,4.1524870109755
109.25,-0.25,2004-06-01,-3.47005760665177
109.25,-0.25,2004-07-01,-1.06043037808801
109.25,-0.25,2004-08-01,4.89929978616579
109.25,-0.25,2004-09-01,-2.69517278954865
109.25,-0.25,2004-10-01,3.35098140917482
109.25,-0.25,2004-11-01,7.17599728515098
109.25,-0.25,2004-12-01,9.53257778009276
109.25,-0.25,2005-01-01,7.68696360357312
109.25,-0.25,2005-02-01,3.30138593505769
109.25,-0.25,2005-03-01,-2.29817388635157
109.25,-0.25,2005-04-01,10.5857768933307
109.25,-0.25,2005-05-01,8.07000554102139
109.25,-0.25,2005-06-01,5.3189098795256
109.25,-0.25,2005-07-01,11.3033753645666
109.25,-0.25,2005-08-01,-0.510121580342902
109.25,-0.25,2005-09-01,-1.84494526745527
109.25,-0.25,2005-10-01,12.1333135737319
109.25,-0.25,2005-11-01,20.4325213940173
109.25,-0.25,2005-12-01,12.9692813142086
109.25,-0.25,2006-01-01,9.6853116092053
109.25,-0.25,2006-02-01,2.20755522530281
109.25,-0.25,2006-03-01,-0.889559057287841
